Index, Date, Time, Latitude, Longitude, Altitude, Speed, Course, Distance, Type, Timeout, MSVs_QCN, Weight Criteria, SleepTime, EHPE, Satelite ID
0001, 2009/09/08, 09:54:34, 51.496170, -0.701632, 47.980000, 216, 43, 0.000000, -2(000000C2), 4, 76, 3C, 255, 304,  -----XX- --X----X -X-----X --------
0002, 2009/09/08, 09:54:35, 51.496166, -0.701654, 45.840000, 72, 320, 1.556718, 00(00000000), 1, 77, 45, 0, 240,  -----XX- --X----X -X-----X --------
0003, 2009/09/08, 09:54:36, 51.496166, -0.701655, 42.020000, 216, 49, 0.070146, 00(00000000), 1, 88, 45, 0, 208,  -----XX- --X----X -X--X--X --------
0004, 2009/09/08, 09:54:37, 51.496170, -0.701658, 39.579998, 108, 232, 0.471687, 00(00000000), 1, 88, 45, 0, 176,  -----XX- --X----X -X--X--X --------
0005, 2009/09/08, 09:54:38, 51.496174, -0.701658, 38.469997, 144, 232, 0.427553, 00(00000000), 1, 88, 45, 0, 160,  -----XX- --X----X -X--X--X --------
0006, 2009/09/08, 09:54:39, 51.496178, -0.701660, 35.880001, 108, 234, 0.437531, 00(00000000), 1, 88, 45, 0, 144,  -----XX- --X----X -X--X--X --------
0007, 2009/09/08, 09:54:40, 51.496178, -0.701663, 36.119999, 216, 37, 0.177427, 00(00000000), 1, 88, 45, 0, 144,  -----XX- --X----X -X--X--X --------
0008, 2009/09/08, 09:54:41, 51.496181, -0.701661, 37.070000, 180, 37, 0.444251, 00(00000000), 1, 88, 45, 0, 144,  -----XX- --X----X -X--X--X --------
0009, 2009/09/08, 09:54:42, 51.496181, -0.701660, 36.950001, 360, 107, 0.074272, 00(00000000), 1, 90, 45, 0, 144,  -----XX- --X----X -X--X--X --------
0010, 2009/09/08, 09:54:43, 51.496181, -0.701660, 36.509998, 180, 326, 0.053641, 00(00000000), 1, 98, 45, 0, 144,  -----XX- --X----X -X--X--X --------
